Date,Count
09/03/2025,"4,101,293"
09/02/2025,"3,842,843"
09/01/2025,"2,092,253"
08/31/2025,"2,197,950"
08/30/2025,"2,575,973"
08/29/2025,"3,559,792"
08/28/2025,"3,844,830"
08/27/2025,"3,959,633"
08/26/2025,"3,934,641"
08/25/2025,"3,499,592"
08/24/2025,"2,154,935"
08/23/2025,"2,669,472"
08/22/2025,"3,640,772"
08/21/2025,"3,790,576"
08/20/2025,"3,712,709"
08/19/2025,"3,788,813"
08/18/2025,"3,376,936"
08/17/2025,"2,015,821"
08/16/2025,"2,568,833"
08/15/2025,"3,551,008"
08/14/2025,"3,823,077"
08/13/2025,"3,880,241"
08/12/2025,"3,891,327"
08/11/2025,"3,541,477"
08/10/2025,"2,201,175"
08/09/2025,"2,671,051"
08/08/2025,"3,654,469"
08/07/2025,"3,944,318"
08/06/2025,"3,994,828"
08/05/2025,"3,990,441"
08/04/2025,"3,603,453"
08/03/2025,"2,109,148"
08/02/2025,"2,661,432"
08/01/2025,"3,597,962"
07/31/2025,"3,718,979"
07/30/2025,"3,995,693"
07/29/2025,"3,942,701"
07/28/2025,"3,664,264"
07/27/2025,"2,149,759"
07/26/2025,"2,790,923"
07/25/2025,"3,656,150"
07/24/2025,"4,079,094"
07/23/2025,"4,124,410"
07/22/2025,"4,085,230"
07/21/2025,"3,671,940"
07/20/2025,"2,111,747"
07/19/2025,"2,655,440"
07/18/2025,"3,739,145"
07/17/2025,"4,029,813"
07/16/2025,"4,117,704"
07/15/2025,"4,039,160"
07/14/2025,"3,605,195"
07/13/2025,"2,144,413"
07/12/2025,"2,696,784"
07/11/2025,"3,752,472"
07/10/2025,"4,019,506"
07/09/2025,"4,071,286"
07/08/2025,"3,921,235"
07/07/2025,"3,494,924"
07/06/2025,"1,991,884"
07/05/2025,"2,279,010"
07/04/2025,"2,325,024"
07/03/2025,"3,599,213"
07/02/2025,"3,850,919"
07/01/2025,"3,827,420"
06/30/2025,"3,570,724"
06/29/2025,"2,443,017"
06/28/2025,"2,779,328"
06/27/2025,"3,745,156"
06/26/2025,"4,176,259"
06/25/2025,"4,044,532"
06/24/2025,"3,857,783"
06/23/2025,"3,675,099"
06/22/2025,"2,036,654"
06/21/2025,"2,750,049"
06/20/2025,"3,917,085"
06/19/2025,"3,312,985"
06/18/2025,"4,352,533"
06/17/2025,"4,244,501"
06/16/2025,"3,881,697"
06/15/2025,"2,060,343"
06/14/2025,"2,648,754"
06/13/2025,"4,016,599"
06/12/2025,"4,389,106"
06/11/2025,"4,389,844"
06/10/2025,"4,242,094"
06/09/2025,"3,894,637"
06/08/2025,"2,419,073"
06/07/2025,"2,746,462"
06/06/2025,"3,971,366"
06/05/2025,"4,209,248"
06/04/2025,"4,453,078"
06/03/2025,"4,277,676"
06/02/2025,"3,825,105"
06/01/2025,"2,216,471"
05/31/2025,"2,703,804"
05/30/2025,"4,013,939"
05/29/2025,"4,330,609"
05/28/2025,"4,319,577"
05/27/2025,"4,131,820"
05/26/2025,"2,225,230"
05/25/2025,"2,265,268"
05/24/2025,"2,613,079"
05/23/2025,"3,867,945"
05/22/2025,"4,177,436"
05/21/2025,"4,359,486"
05/20/2025,"4,288,364"
05/19/2025,"3,859,712"
05/18/2025,"2,348,810"
05/17/2025,"2,806,907"
05/16/2025,"3,917,793"
05/15/2025,"4,226,351"
05/14/2025,"4,325,655"
05/13/2025,"4,101,901"
05/12/2025,"3,950,681"
05/11/2025,"2,177,273"
05/10/2025,"2,895,080"
05/09/2025,"3,893,760"
05/08/2025,"4,380,539"
05/07/2025,"4,438,683"
05/06/2025,"4,289,517"
05/05/2025,"3,924,272"
05/04/2025,"2,175,053"
05/03/2025,"2,896,423"
05/02/2025,"4,120,612"
05/01/2025,"4,440,098"
04/30/2025,"4,406,705"
04/29/2025,"4,350,681"
04/28/2025,"3,946,503"
04/27/2025,"2,329,464"
04/26/2025,"2,696,077"
04/25/2025,"4,124,744"
04/24/2025,"4,419,648"
04/23/2025,"4,402,438"
04/22/2025,"4,307,321"
04/21/2025,"3,806,992"
04/20/2025,"2,100,218"
04/19/2025,"2,880,379"
04/18/2025,"3,551,334"
04/17/2025,"4,077,460"
